"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","API 2: POST To All Products List","chromium","Fri Feb 21 15:33:18 IST 2025","skipped","Fri Feb 21 15:33:18 IST 2025","APITestcases","A1_APITesting.spec.js","",""
"","1256","GET Request","webkit","Thu Feb 20 16:06:50 IST 2025","passed","Thu Feb 20 16:06:51 IST 2025","APITestcases","A1_APITesting.spec.js","",""
"","487","addObject","chromium","Fri Feb 21 16:45:56 IST 2025","passed","Fri Feb 21 16:45:56 IST 2025","secondSetAPI","A1_APITesting.spec.js","",""
"","5868","navigation test","chromium","Thu Mar 06 16:09:16 IST 2025","passed","Thu Mar 06 16:09:22 IST 2025","","t6_makemytrip.spec.js","",""
"","7770","testTimeOut","chromium","Thu Feb 20 11:21:23 IST 2025","passed","Thu Feb 20 11:21:31 IST 2025","Hello Team","t5_alerts.spec.js","",""
"","11678","firstAlert","firefox","Tue Feb 18 17:17:13 IST 2025","passed","Tue Feb 18 17:17:25 IST 2025","Hello Team","t5_alerts.spec.js","",""
"","3","GET Request","chromium","Fri Feb 21 15:33:18 IST 2025","skipped","Fri Feb 21 15:33:18 IST 2025","APITestcases","A1_APITesting.spec.js","",""
"","416","getById","chromium","Fri Feb 21 15:58:38 IST 2025","passed","Fri Feb 21 15:58:38 IST 2025","secondSetAPI","A1_APITesting.spec.js","",""
"","8810","firstAlert","webkit","Tue Feb 18 17:17:13 IST 2025","passed","Tue Feb 18 17:17:22 IST 2025","Hello Team","t5_alerts.spec.js","",""
"","1660","one","chromium","Mon Feb 24 19:08:45 IST 2025","passed","Mon Feb 24 19:08:46 IST 2025","firstGroup","practice_01.spec.js","",""
"","436","getAllReq","chromium","Fri Feb 21 15:33:24 IST 2025","passed","Fri Feb 21 15:33:25 IST 2025","secondSetAPI","A1_APITesting.spec.js","",""
"","741","send POST request with payload","chromium","Fri Feb 21 16:37:07 IST 2025","passed","Fri Feb 21 16:37:08 IST 2025","secondSetAPI","A1_APITesting.spec.js","",""
"","12958","testmultiple tabs","chromium","Mon Feb 24 16:37:48 IST 2025","passed","Mon Feb 24 16:38:01 IST 2025","Action_Branch","t1.spec.js","",""
"","13588","promptAlert","chromium","Thu Feb 20 11:21:23 IST 2025","passed","Thu Feb 20 11:21:37 IST 2025","Hello Team","t5_alerts.spec.js","",""
"","8985","Keyboard Actions","chromium","Mon Feb 24 16:37:56 IST 2025","passed","Mon Feb 24 16:38:05 IST 2025","Action_Branch","t1.spec.js","",""
"","9751","Keyboard Actions","webkit","Mon Feb 24 16:33:16 IST 2025","passed","Mon Feb 24 16:33:26 IST 2025","Action_Branch","t1.spec.js","",""
"","1216","GET Request","firefox","Thu Feb 20 16:06:50 IST 2025","passed","Thu Feb 20 16:06:51 IST 2025","APITestcases","A1_APITesting.spec.js","",""
"","5122","one_read_JSON","chromium","Mon Feb 24 16:35:26 IST 2025","passed","Mon Feb 24 16:35:31 IST 2025","firstGroup","parallelEx.spec.js","",""
"","7399","Tableselect","chromium","Mon Feb 24 17:26:29 IST 2025","passed","Mon Feb 24 17:26:36 IST 2025","Action_Branch","t1.spec.js","",""
"","721","getSingleObject","chromium","Tue Feb 25 13:09:21 IST 2025","passed","Tue Feb 25 13:09:22 IST 2025","secondSetAPI","A1_APITesting.spec.js","",""
"","7666","text_input","chromium","Mon Feb 24 19:18:13 IST 2025","passed","Mon Feb 24 19:18:21 IST 2025","Action_Branch","t1.spec.js","",""
"","12476","confirmAlert","chromium","Thu Feb 20 11:21:23 IST 2025","passed","Thu Feb 20 11:21:36 IST 2025","Hello Team","t5_alerts.spec.js","",""
"","11708","test_Aletrs","chromium","Mon Feb 24 16:37:48 IST 2025","passed","Mon Feb 24 16:38:00 IST 2025","Action_Branch","t1.spec.js","",""
"","453","patchUpdate","chromium","Fri Feb 21 17:21:41 IST 2025","passed","Fri Feb 21 17:21:41 IST 2025","secondSetAPI","A1_APITesting.spec.js","",""
"","792","getSingleObject","firefox","Mon Feb 24 16:33:11 IST 2025","passed","Mon Feb 24 16:33:12 IST 2025","secondSetAPI","A1_APITesting.spec.js","",""
"","9568","Keyboard Actions","firefox","Mon Feb 24 16:33:11 IST 2025","passed","Mon Feb 24 16:33:20 IST 2025","Action_Branch","t1.spec.js","",""
"","606","singleObject","chromium","Fri Feb 21 16:05:25 IST 2025","passed","Fri Feb 21 16:05:25 IST 2025","secondSetAPI","A1_APITesting.spec.js","",""
"","994","test","chromium","Mon Feb 17 17:39:29 IST 2025","passed","Mon Feb 17 17:39:30 IST 2025","","t4_stepAPI.spec.js","",""
"","438","putUpdate","chromium","Fri Feb 21 17:09:48 IST 2025","passed","Fri Feb 21 17:09:48 IST 2025","secondSetAPI","A1_APITesting.spec.js","",""
"","13898","firstAlert","chromium","Thu Feb 20 11:21:23 IST 2025","passed","Thu Feb 20 11:21:37 IST 2025","Hello Team","t5_alerts.spec.js","",""
"","3","Secondoneone","chromium","Mon Feb 24 16:36:06 IST 2025","skipped","Mon Feb 24 16:36:06 IST 2025","SecondGroup","parallelEx.spec.js","",""
"","1","API 5: POST To Search Product","chromium","Fri Feb 21 15:33:18 IST 2025","skipped","Fri Feb 21 15:33:18 IST 2025","APITestcases","A1_APITesting.spec.js","",""
"","1025","getSingleObject","webkit","Mon Feb 24 16:33:16 IST 2025","passed","Mon Feb 24 16:33:17 IST 2025","secondSetAPI","A1_APITesting.spec.js","",""
